username,section,inperson_reason,remote_reason,modality_preference,class_standing,gender,race
3,CSE 100 (in-person),I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I am concerned that I will be unable to focus if I attend remotely.,,in-person,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
4,CSE 100 (in-person),I prefer to learn in an in-person setting.;I am concerned that I will be unable to focus if I attend remotely.,,no preference,2nd Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
5,CSE 100R (remote),,It is more convenient to attend remotely since I'm living off campus,no preference,2nd Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
6,CSE 100R (remote),,"I prefer to learn in a remote setting.;It is easier for me to learn in a remote setting.;I am unable to get to campus on those days, so it is more convenient.",remote,4th Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French);American Indian or Alaska Native (e.g. Navajo nation, Blackfeet tribe, Mayan, Aztec)"
8,CSE 100 (in-person),"I will already be on campus on those days, so it is more convenient.",,remote,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
9,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,2nd Year (Undergrad),Female,"White (e.g. German, Irish, English, Italian, Polish, French)"
11,CSE 100 (in-person),I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I am concerned that I will be unable to focus if I attend remotely.,,in-person,4th Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
12,CSE 100R (remote),,The in-person section was full.,remote,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
13,CSE 100 (in-person),I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.,,in-person,3rd Year (Undergrad),Male,"Middle Eastern or North African (e.g. Lebanese, Iranian, Egyptian, Syrian, Moroccan)"
14,CSE 100R (remote),,I prefer to learn in a remote setting.;It is easier for me to learn in a remote setting.;I am concerned for my health during the ongoing COVID-19 pandemic.,remote,3rd Year (Undergrad),Male,Prefer not to answer
15,CSE 100R (remote),,The in-person section was full.,in-person,3rd Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French)"
16,CSE 100 (in-person),I am concerned that I will be unable to focus if I attend remotely.,,no preference,2nd Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
17,CSE 100 (in-person),"I will already be on campus on those days, so it is more convenient.",,no preference,4th Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
18,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,3rd Year (Undergrad),Prefer not to answer,Prefer not to answer
20,CSE 100R (remote),,I prefer to learn in a remote setting.;I am concerned for my health during the ongoing COVID-19 pandemic.,remote,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
23,CSE 100 (in-person),It is easier for me to learn in an in-person setting.;I am concerned that I will be unable to focus if I attend remotely.,,no preference,3rd Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
25,CSE 100 (in-person),I prefer to learn in an in-person setting.,,remote,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
26,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.;I like being able to work with other students in person and meet new people.",,in-person,2nd Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
33,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,3rd Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French)"
34,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
35,CSE 100R (remote),,The in-person section was full.,no preference,3rd Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French)"
36,CSE 100R (remote),,"I prefer to learn in a remote setting.;It is easier for me to learn in a remote setting.;I am unable to get to campus on those days, so it is more convenient.;The in-person section was full.",remote,3rd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
39,CSE 100 (in-person),"I prefer to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian);Middle Eastern or North African (e.g. Lebanese, Iranian, Egyptian, Syrian, Moroccan)"
40,CSE 100R (remote),,I prefer to learn in a remote setting.,remote,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
41,CSE 100R (remote),,The in-person section was full.,in-person,2nd Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French)"
42,CSE 100R (remote),,It is easier for me to learn in a remote setting.;The in-person section was full.,in-person,2nd Year (Undergrad),Male,Prefer not to answer
